"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
2;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
3;"H4,H2,H3,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
4;"R1";"SLIDER_POT";1;"SLIDER_POT";;;
5;",,,,";"buzzardLabel";5;"";;;
6;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
7;"K1,K3";"easyC-connector";2;"easyC-SMD";;;
8;"C2,C3,C1";"0603C";3;"0.1uF";;;
9;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
10;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
11;"R3,R2";"0603R";2;"10k";;;
12;"U1";"SOIC-14";1;"ATTINY404-SSNR";;;
13;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
14;"K4";"DSHP03TS-S";1;"DSHP03TS-S";;;
15;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
16;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
